[16/06/2026 14:36:38,11] Avvio MENU-XTETRIS-WINDOWS.bat
[16/06/2026 14:37:04,53] Scelta menu principale: 7
[16/06/2026 14:37:24,57] Scelta menu principale: 1
[16/06/2026 14:43:49,29] Scelta menu principale: 6
[16/06/2026 14:49:56,66] Scelta menu principale: 3
[16/06/2026 14:50:06,31] Scelta menu principale: 4
[16/06/2026 14:52:54,90] Scelta menu principale: 7
[16/06/2026 14:53:35,99] Scelta menu principale: 8
[16/06/2026 15:08:20,85] Avvio MENU-XTETRIS-WINDOWS.bat
[16/06/2026 15:08:24,00] Scelta menu principale: 5
[16/06/2026 15:09:32,75] Scelta menu principale: 8
[16/06/2026 15:18:24,66] Avvio MENU-XTETRIS-WINDOWS.bat
[16/06/2026 15:18:44,01] Avvio MENU-XTETRIS-WINDOWS.bat
[16/06/2026 15:18:56,19] Scelta menu principale: 1
[16/06/2026 15:24:24,94] Scelta menu principale: 4
[16/06/2026 16:05:50,45] Avvio MENU-XTETRIS-WINDOWS.bat
[16/06/2026 16:05:53,27] Scelta menu principale: 4
[16/06/2026 16:06:19,09] Scelta menu principale: 1
[16/06/2026 16:12:24,05] Scelta menu principale: 6
[16/06/2026 16:12:36,09] Scelta menu principale: 5
[16/06/2026 16:13:08,20] Scelta menu principale: 4
[16/06/2026 16:20:10,29] Avvio MENU-XTETRIS-WINDOWS.bat
[16/06/2026 16:20:12,04] Scelta menu principale: 4
[16/06/2026 16:20:31,54] Scelta menu principale: 8
